the_geom,OBJECTID,TYPE,Lat,Long
POINT (-71.07640172677861 42.347171666642446),136,LIGHT,42.34717167,-71.07640173
POINT (-71.07652716031735 42.34716944579571),137,LIGHT,42.34716945,-71.07652716
POINT (-71.07657587846674 42.347067989453045),138,LIGHT,42.34706799,-71.07657588
POINT (-71.07718205637242 42.34894127472018),139,LIGHT,42.34894127,-71.07718206
POINT (-71.07746625265001 42.348707626879786),140,LIGHT,42.34870763,-71.07746625
POINT (-71.07782423396559 42.34841016470292),141,LIGHT,42.34841016,-71.07782423
POINT (-71.07787398820064 42.348040639907865),142,LIGHT,42.34804064,-71.07787399
POINT (-71.0782903533436 42.34773302551789),143,LIGHT,42.34773303,-71.07829035
POINT (-71.07815389460075 42.347845250498416),144,LIGHT,42.34784525,-71.07815389
POINT (-71.07852852522642 42.34767535279698),145,LIGHT,42.34767535,-71.07852853
POINT (-71.07797202312092 42.34775296854245),146,LIGHT,42.34775297,-71.07797202
POINT (-71.07758335770528 42.34790145885826),147,LIGHT,42.34790146,-71.07758336
POINT (-71.07795892374062 42.348945503432674),148,LIGHT,42.3489455,-71.07795892
POINT (-71.078445634981 42.34881550951971),149,LIGHT,42.34881551,-71.07844564
POINT (-71.07824945931259 42.348867620160696),150,LIGHT,42.34886762,-71.07824946
POINT (-71.0777246725156 42.34887466016039),151,LIGHT,42.34887466,-71.07772467
POINT (-71.0777246725156 42.34887466016039),152,LIGHT,42.34887466,-71.07772467
POINT (-71.07954959722355 42.35034169909795),153,LIGHT,42.3503417,-71.0795496
POINT (-71.07972011510881 42.350296279763704),154,LIGHT,42.35029628,-71.07972012
POINT (-71.07936052107395 42.35039389970935),155,LIGHT,42.3503939,-71.07936052
POINT (-71.07919120547282 42.350438405514446),156,LIGHT,42.35043841,-71.07919121
POINT (-71.07837552971587 42.348338673261345),157,LIGHT,42.34833867,-71.07837553
POINT (-71.07670881378455 42.346963216771336),158,LIGHT,42.34696322,-71.07670881
POINT (-71.07731165782761 42.348177084036465),159,LIGHT,42.34817708,-71.07731166
POINT (-71.07759139050698 42.348111143793744),160,LIGHT,42.34811114,-71.07759139
POINT (-71.0793604870707 42.34903056783104),161,LIGHT,42.34903057,-71.07936049
POINT (-71.07888569132359 42.34841578821685),162,LIGHT,42.34841579,-71.07888569
POINT (-71.07786821468454 42.348762107893336),163,LIGHT,42.34876211,-71.07786821
POINT (-71.07881633685655 42.348271873776845),164,LIGHT,42.34827187,-71.07881634
POINT (-71.07951106433124 42.34933539183011),165,LIGHT,42.34933539,-71.07951106
POINT (-71.07960854958344 42.34939887489774),166,LIGHT,42.34939887,-71.07960855
POINT (-71.07800685910473 42.34864627931695),167,LIGHT,42.34864628,-71.07800686
POINT (-71.07954182554542 42.34994431547417),168,LIGHT,42.34994432,-71.07954183
POINT (-71.07949253208253 42.35270520145736),169,LIGHT,42.3527052,-71.07949253
POINT (-71.07969660772505 42.35265077231742),170,LIGHT,42.35265077,-71.07969661
POINT (-71.07932713046517 42.35275177533751),171,LIGHT,42.35275178,-71.07932713
POINT (-71.07926442989917 42.35265207193414),172,LIGHT,42.35265207,-71.07926443
POINT (-71.0794456905321 42.35260401394611),173,LIGHT,42.35260401,-71.07944569
POINT (-71.07965314055463 42.35254897692346),174,LIGHT,42.35254898,-71.07965314
POINT (-71.07908741362864 42.35233943559652),175,LIGHT,42.35233944,-71.07908741
POINT (-71.07944502286765 42.35223884098746),176,LIGHT,42.35223884,-71.07944502
POINT (-71.07974714012875 42.35216003028334),177,LIGHT,42.35216003,-71.07974714
POINT (-71.07854154162462 42.3521356963857),178,LIGHT,42.3521357,-71.07854154
POINT (-71.07852557183425 42.35204429164639),179,LIGHT,42.35204429,-71.07852557
POINT (-71.0783364888807 42.35192015328287),180,LIGHT,42.35192015,-71.07833649
POINT (-71.07872604846737 42.3519929840466),181,LIGHT,42.35199298,-71.07872605
POINT (-71.07890314178938 42.35194496116132),182,LIGHT,42.35194496,-71.07890314
POINT (-71.07913055102713 42.351884157980315),183,LIGHT,42.35188416,-71.07913055
POINT (-71.07933173957646 42.35182840179439),184,LIGHT,42.3518284,-71.07933174
POINT (-71.07950236856236 42.35178332890082),185,LIGHT,42.35178333,-71.07950237
POINT (-71.07972950023938 42.351721561111574),186,LIGHT,42.35172156,-71.0797295
POINT (-71.07842421000898 42.35189745627274),187,LIGHT,42.35189746,-71.07842421
POINT (-71.0783561595429 42.35176344245398),188,LIGHT,42.35176344,-71.07835616
POINT (-71.07826873557617 42.35178528432545),189,LIGHT,42.35178528,-71.07826874
POINT (-71.07809090139273 42.35181462518195),190,LIGHT,42.35181463,-71.0780909
POINT (-71.07812022421865 42.35187126292912),191,LIGHT,42.35187126,-71.07812022
